epsilon2	better_prob	prob_branch	mean_resolved	mean_closed_nn	mean_closed_nnHybrid	mean_closed_1Tree	mean_closed_subgradient	mean_total_time	mean_time_bb	mean_time_to_best	mean_bbnodes_before_best	mean_fixed_edges	mean_total_tree_level	mean_generate_bbnodes	mean_explored_bbnodes	mean_best_level	mean_prob_best	mean_best_value	mean_mandatory_edges	mean_forbidden_edges
0.4	0.3	0.8	100.0	0.0	89.0	0.0	11.0	0.15209104299545287	0.13959122	0.06389945	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.3	0.9	100.0	0.0	89.0	0.0	11.0	0.1516815972328186	0.13962535	0.06439579000000001	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.4	0.5	100.0	0.0	89.0	0.0	11.0	0.18502925634384154	0.16774167999999992	0.08475637000000001	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.4	0.6	100.0	0.0	89.0	0.0	11.0	0.1522823143005371	0.14033790000000004	0.06394628	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.4	0.7	100.0	0.0	89.0	0.0	11.0	0.144198956489563	0.13296463000000006	0.06114529999999999	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.4	0.8	100.0	0.0	89.0	0.0	11.0	0.14774104118347167	0.13632031	0.0628731	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.4	0.9	100.0	0.0	89.0	0.0	11.0	0.1458298659324646	0.13485608	0.062057400000000006	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.5	0.5	100.0	0.0	89.0	0.0	11.0	0.14522787809371948	0.13406918999999998	0.060815150000000005	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.5	0.6	100.0	0.0	89.0	0.0	11.0	0.14861985206604003	0.13701424999999998	0.06274938	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.5	0.7	100.0	0.0	89.0	0.0	11.0	0.14803598165512086	0.13635568999999997	0.062418249999999995	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.5	0.8	100.0	0.0	89.0	0.0	11.0	0.14109991788864135	0.12978320999999995	0.06020645999999999	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.5	0.9	100.0	0.0	89.0	0.0	11.0	0.1519497227668762	0.14022767999999997	0.06364459	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.1	0.5	100.0	0.0	89.0	0.0	11.0	0.14577829360961914	0.13464262999999999	0.06256514	13.24	1983.42	3.0	34.84	25.79	0.71	0.99012706	5.679856910000002	1.21	100.1
